id,chr,name,biotype,length
ENSG00000005381,17,MPO,protein_coding,3527
ENSG00000005421,7,PON1,protein_coding,2657
ENSG00000005436,2,GCFC2,protein_coding,5462
ENSG00000005448,2,WDR54,protein_coding,2852
ENSG00000005469,7,CROT,protein_coding,4995
ENSG00000005471,7,ABCB4,protein_coding,7728
ENSG00000005483,7,KMT2E,protein_coding,9949
ENSG00000005486,7,RHBDD2,protein_coding,2390
ENSG00000005513,16,SOX8,protein_coding,4470
ENSG00000005700,6,IBTK,protein_coding,8719
ENSG00000005801,11,ZNF195,protein_coding,11711
ENSG00000005810,13,MYCBP2,protein_coding,15987
ENSG00000005812,13,FBXL3,protein_coding,7076
ENSG00000005844,16,ITGAL,protein_coding,9864
ENSG00000005882,17,PDK2,protein_coding,5471
ENSG00000005884,17,ITGA3,protein_coding,9802
ENSG00000005889,X,ZFX,protein_coding,9037
ENSG00000005893,X,LAMP2,protein_coding,9404
ENSG00000005961,17,ITGA2B,protein_coding,5695
ENSG00000005981,7,ASB4,protein_coding,4606
ENSG00000006007,16,GDE1,protein_coding,4390
ENSG00000006015,19,REX1BD,protein_coding,3371
ENSG00000006016,19,CRLF1,protein_coding,2967
ENSG00000006025,17,OSBPL7,protein_coding,6572
ENSG00000006042,17,TMEM98,protein_coding,5187
ENSG00000006047,17,YBX2,protein_coding,4631
ENSG00000006059,17,KRT33A,protein_coding,1303
ENSG00000006062,17,MAP3K14,protein_coding,5668
ENSG00000006071,11,ABCC8,protein_coding,12588
ENSG00000006116,16,CACNG3,protein_coding,1917
ENSG00000006118,11,TMEM132A,protein_coding,7274
ENSG00000006125,17,AP2B1,protein_coding,7591
ENSG00000006128,7,TAC1,protein_coding,1712
ENSG00000006194,16,ZNF263,protein_coding,6403
ENSG00000006210,16,CX3CL1,protein_coding,5960
ENSG00000006282,17,SPATA20,protein_coding,5337
ENSG00000006283,17,CACNA1G,protein_coding,10062
ENSG00000006327,16,TNFRSF12A,protein_coding,1801
ENSG00000006377,7,DLX6,protein_coding,3445
ENSG00000006432,14,MAP3K9,protein_coding,12386
ENSG00000006451,7,RALA,protein_coding,3579
ENSG00000006453,7,BAIAP2L1,protein_coding,4821
ENSG00000006459,7,KDM7A,protein_coding,9378
ENSG00000006468,7,ETV1,protein_coding,9615
ENSG00000006530,7,AGK,protein_coding,10697
ENSG00000006534,11,ALDH3B1,protein_coding,6626
ENSG00000006555,1,TTC22,protein_coding,6111
ENSG00000006576,7,PHTF2,protein_coding,8646
ENSG00000006606,7,CCL26,protein_coding,703
ENSG00000006607,2,FARP2,protein_coding,14371
ENSG00000006611,11,USH1C,protein_coding,4904
ENSG00000006625,7,GGCT,protein_coding,1594
ENSG00000006634,7,DBF4,protein_coding,4595
ENSG00000006638,19,TBXA2R,protein_coding,2827
ENSG00000006652,7,IFRD1,protein_coding,7902
ENSG00000006659,19,LGALS14,protein_coding,904
ENSG00000006695,17,COX10,protein_coding,6756
ENSG00000006704,7,GTF2IRD1,protein_coding,6499
ENSG00000006712,19,PAF1,protein_coding,2850
ENSG00000006715,7,VPS41,protein_coding,7752
ENSG00000006740,17,ARHGAP44,protein_coding,9322
ENSG00000006744,17,ELAC2,protein_coding,7002
ENSG00000006747,7,SCIN,protein_coding,11626
ENSG00000006756,X,ARSD,protein_coding,7026
ENSG00000006757,X,PNPLA4,protein_coding,3411
ENSG00000006788,17,MYH13,protein_coding,6120
ENSG00000006831,12,ADIPOR2,protein_coding,5831
ENSG00000006837,5,CDKL3,protein_coding,3149
ENSG00000007001,2,UPP2,protein_coding,2957
ENSG00000007038,16,PRSS21,protein_coding,1967
ENSG00000007047,19,MARK4,protein_coding,6656
ENSG00000007062,4,PROM1,protein_coding,7457
ENSG00000007080,19,CCDC124,protein_coding,1661
ENSG00000007129,19,CEACAM21,protein_coding,1977
ENSG00000007168,17,PAFAH1B1,protein_coding,13771
ENSG00000007171,17,NOS2,protein_coding,4399
ENSG00000007174,17,DNAH9,protein_coding,16941
ENSG00000007202,17,KIAA0100,protein_coding,9232
ENSG00000007216,17,SLC13A2,protein_coding,3226
ENSG00000007237,17,GAS7,protein_coding,10158
ENSG00000007255,19,TRAPPC6A,protein_coding,933
ENSG00000007264,19,MATK,protein_coding,4138
ENSG00000007306,19,CEACAM7,protein_coding,2653
ENSG00000007312,17,CD79B,protein_coding,2062
ENSG00000007314,17,SCN4A,protein_coding,8243
ENSG00000007341,1,ST7L,protein_coding,8108
ENSG00000007350,X,TKTL1,protein_coding,3526
ENSG00000007372,11,PAX6,protein_coding,20639
ENSG00000007376,16,RPUSD1,protein_coding,2769
ENSG00000007384,16,RHBDF1,protein_coding,4914
ENSG00000007392,16,LUC7L,protein_coding,6176
ENSG00000007402,3,CACNA2D2,protein_coding,6508
ENSG00000007516,16,BAIAP3,protein_coding,6109
ENSG00000007520,16,TSR3,protein_coding,1210
ENSG00000007541,16,PIGQ,protein_coding,7856
ENSG00000007545,16,CRAMP1,protein_coding,8596
ENSG00000007866,6,TEAD3,protein_coding,3049
ENSG00000007908,1,SELE,protein_coding,4586
ENSG00000007923,1,DNAJC11,protein_coding,5083
ENSG00000007933,1,FMO3,protein_coding,3439
ENSG00000007944,6,MYLIP,protein_coding,3072
ENSG00000007952,X,NOX1,protein_coding,2543
ENSG00000007968,1,E2F2,protein_coding,5462
ENSG00000008018,6,PSMB1,protein_coding,2219
ENSG00000008056,X,SYN1,protein_coding,3733
ENSG00000008083,6,JARID2,protein_coding,6244
ENSG00000008086,X,CDKL5,protein_coding,19056
ENSG00000008118,1,CAMK1G,protein_coding,3328
ENSG00000008128,1,CDK11A,protein_coding,5085
ENSG00000008130,1,NADK,protein_coding,5570
ENSG00000008196,6,TFAP2B,protein_coding,6155
ENSG00000008197,6,TFAP2D,protein_coding,2203
ENSG00000008226,3,DLEC1,protein_coding,8338
ENSG00000008256,7,CYTH3,protein_coding,5808
ENSG00000008277,7,ADAM22,protein_coding,12199
ENSG00000008282,7,SYPL1,protein_coding,2783
ENSG00000008283,17,CYB561,protein_coding,5296
ENSG00000008294,17,SPAG9,protein_coding,11966
ENSG00000008300,3,CELSR3,protein_coding,13850
ENSG00000008311,7,AASS,protein_coding,10816
ENSG00000008323,12,PLEKHG6,protein_coding,4260
ENSG00000008324,3,SS18L2,protein_coding,3118
ENSG00000008382,19,MPND,protein_coding,2049
ENSG00000008394,12,MGST1,protein_coding,7441
ENSG00000008405,12,CRY1,protein_coding,4782
ENSG00000008438,19,PGLYRP1,protein_coding,708
ENSG00000008441,19,NFIX,protein_coding,6435
ENSG00000008513,8,ST3GAL1,protein_coding,8852
ENSG00000008516,16,MMP25,protein_coding,4745
ENSG00000008517,16,IL32,protein_coding,3209
ENSG00000008710,16,PKD1,protein_coding,18534
ENSG00000008735,22,MAPK8IP2,protein_coding,5793
ENSG00000008838,17,MED24,protein_coding,6962
ENSG00000008853,8,RHOBTB2,protein_coding,6611
ENSG00000008869,2,HEATR5B,protein_coding,8238
ENSG00000008952,3,SEC62,protein_coding,7928
ENSG00000009307,1,CSDE1,protein_coding,5778
ENSG00000009335,7,UBE3C,protein_coding,9215
ENSG00000009413,6,REV3L,protein_coding,12425
ENSG00000009694,X,TENM1,protein_coding,12896
ENSG00000009709,1,PAX7,protein_coding,6473
ENSG00000009724,1,MASP2,protein_coding,4257
ENSG00000009765,6,IYD,protein_coding,10362
ENSG00000009780,1,FAM76A,protein_coding,4046
ENSG00000009790,1,TRAF3IP3,protein_coding,7750
ENSG00000009830,14,POMT2,protein_coding,10007
ENSG00000009844,6,VTA1,protein_coding,7258
ENSG00000009950,7,MLXIPL,protein_coding,4815
ENSG00000009954,7,BAZ1B,protein_coding,7060
ENSG00000010017,6,RANBP9,protein_coding,3618
ENSG00000010030,6,ETV7,protein_coding,2374
ENSG00000010072,1,SPRTN,protein_coding,5906
ENSG00000010165,1,EEF1AKNMT,protein_coding,3831
ENSG00000010219,12,DYRK4,protein_coding,7054
ENSG00000010244,17,ZNF207,protein_coding,15818
ENSG00000010256,3,UQCRC1,protein_coding,3204
ENSG00000010270,7,STARD3NL,protein_coding,4324
ENSG00000010278,12,CD9,protein_coding,5829
ENSG00000010282,3,HHATL,protein_coding,2888
ENSG00000010292,12,NCAPD2,protein_coding,6470
ENSG00000010295,12,IFFO1,protein_coding,4945
ENSG00000010310,19,GIPR,protein_coding,5069
ENSG00000010318,3,PHF7,protein_coding,3364
ENSG00000010319,3,SEMA3G,protein_coding,5047
ENSG00000010322,3,NISCH,protein_coding,9062
ENSG00000010327,3,STAB1,protein_coding,10588
ENSG00000010361,19,FUZ,protein_coding,2953
ENSG00000010379,12,SLC6A13,protein_coding,4243
ENSG00000010404,X,IDS,protein_coding,9294
ENSG00000010438,9,PRSS3,protein_coding,1425
ENSG00000010539,16,ZNF200,protein_coding,7498
ENSG00000010610,12,CD4,protein_coding,4557
ENSG00000010626,12,LRRC23,protein_coding,3052
ENSG00000010671,X,BTK,protein_coding,4575
ENSG00000010704,6,HFE,protein_coding,5675
ENSG00000010803,1,SCMH1,protein_coding,4447
ENSG00000010810,6,FYN,protein_coding,7411
ENSG00000010818,6,HIVEP2,protein_coding,10655
ENSG00000010932,1,FMO1,protein_coding,3602
ENSG00000011007,1,ELOA,protein_coding,5391
ENSG00000011009,1,LYPLA2,protein_coding,2021
ENSG00000011021,1,CLCN6,protein_coding,8173
ENSG00000011028,17,MRC2,protein_coding,6591
ENSG00000011052,17,NME1-NME2,protein_coding,1241
ENSG00000011083,5,SLC6A7,protein_coding,4277
ENSG00000011105,12,TSPAN9,protein_coding,6905
ENSG00000011114,14,BTBD7,protein_coding,11333
ENSG00000011132,19,APBA3,protein_coding,5596
ENSG00000011143,17,MKS1,protein_coding,11285
ENSG00000011198,3,ABHD5,protein_coding,7539
ENSG00000011201,X,ANOS1,protein_coding,7082
ENSG00000011243,19,AKAP8L,protein_coding,8576
ENSG00000011258,17,MBTD1,protein_coding,7184
ENSG00000011260,17,UTP18,protein_coding,2703
ENSG00000011275,7,RNF216,protein_coding,7576
ENSG00000011295,17,TTC19,protein_coding,6054
ENSG00000011304,19,PTBP1,protein_coding,7521
ENSG00000011332,19,DPF1,protein_coding,4800
ENSG00000011347,11,SYT7,protein_coding,7552
ENSG00000011376,3,LARS2,protein_coding,12407
ENSG00000011405,11,PIK3C2A,protein_coding,9204
ENSG00000011422,19,PLAUR,protein_coding,4457
ENSG00000011426,7,ANLN,protein_coding,5997
ENSG00000011451,19,WIZ,protein_coding,10037
ENSG00000011454,9,RABGAP1,protein_coding,7656
ENSG00000011465,12,DCN,protein_coding,12941
ENSG00000011478,19,QPCTL,protein_coding,2825
ENSG00000011485,19,PPP5C,protein_coding,7089
ENSG00000011523,2,CEP68,protein_coding,8623
ENSG00000011566,2,MAP4K3,protein_coding,6056
ENSG00000011590,19,ZBTB32,protein_coding,2739
ENSG00000011600,19,TYROBP,protein_coding,907
ENSG00000011638,16,TMEM159,protein_coding,2558
ENSG00000011677,X,GABRA3,protein_coding,4150
ENSG00000012048,17,BRCA1,protein_coding,9306
ENSG00000012061,19,ERCC1,protein_coding,5575
ENSG00000012124,19,CD22,protein_coding,6165
ENSG00000012171,3,SEMA3B,protein_coding,5768
ENSG00000012174,X,MBTPS2,protein_coding,8945
ENSG00000012211,X,PRICKLE3,protein_coding,3656
ENSG00000012223,3,LTF,protein_coding,3989
ENSG00000012232,8,EXTL3,protein_coding,13046
ENSG00000012504,12,NR1H4,protein_coding,3628
ENSG00000012660,6,ELOVL5,protein_coding,3813
ENSG00000012779,10,ALOX5,protein_coding,3730
ENSG00000012822,12,CALCOCO1,protein_coding,8898
ENSG00000012963,14,UBR7,protein_coding,3509
ENSG00000012983,14,MAP4K5,protein_coding,7620
ENSG00000013016,2,EHD3,protein_coding,4825
ENSG00000013275,19,PSMC4,protein_coding,2550
ENSG00000013288,4,MAN2B2,protein_coding,8884
ENSG00000013293,3,SLC7A14,protein_coding,10496
ENSG00000013297,3,CLDN11,protein_coding,4321
ENSG00000013306,17,SLC25A39,protein_coding,3526
ENSG00000013364,16,MVP,protein_coding,6141
ENSG00000013374,7,NUB1,protein_coding,5338
ENSG00000013375,6,PGM3,protein_coding,7478
ENSG00000013392,6,RWDD2A,protein_coding,3769
ENSG00000013441,2,CLK1,protein_coding,5170
ENSG00000013503,12,POLR3B,protein_coding,4768
ENSG00000013523,14,ANGEL1,protein_coding,6525
ENSG00000013561,5,RNF14,protein_coding,4988
ENSG00000013563,X,DNASE1L1,protein_coding,4132
ENSG00000013573,12,DDX11,protein_coding,8367
ENSG00000013583,12,HEBP1,protein_coding,3428
ENSG00000013588,12,GPRC5A,protein_coding,7663
ENSG00000013619,X,MAMLD1,protein_coding,5958
ENSG00000013725,11,CD6,protein_coding,5958
ENSG00000013810,4,TACC3,protein_coding,8186
ENSG00000014123,6,UFL1,protein_coding,4539
ENSG00000014138,11,POLA2,protein_coding,5568
ENSG00000014164,8,ZC3H3,protein_coding,3721
ENSG00000014216,11,CAPN1,protein_coding,7506
ENSG00000014257,3,ACP3,protein_coding,4280
ENSG00000014641,2,MDH1,protein_coding,4990
ENSG00000014824,4,SLC30A9,protein_coding,7199
ENSG00000014914,1,MTMR11,protein_coding,4572
ENSG00000014919,10,COX15,protein_coding,5215
ENSG00000015133,14,CCDC88C,protein_coding,12426
ENSG00000015153,12,YAF2,protein_coding,10839
ENSG00000015171,10,ZMYND11,protein_coding,5325
ENSG00000015285,X,WAS,protein_coding,2361
ENSG00000015413,16,DPEP1,protein_coding,2737
ENSG00000015475,22,BID,protein_coding,4420
ENSG00000015479,5,MATR3,protein_coding,12064
ENSG00000015520,7,NPC1L1,protein_coding,5267
ENSG00000015532,17,XYLT2,protein_coding,5472
ENSG00000015568,2,RGPD5,protein_coding,14185
ENSG00000015592,8,STMN4,protein_coding,3294
ENSG00000015676,7,NUDCD3,protein_coding,9893
ENSG00000016082,5,ISL1,protein_coding,2817
ENSG00000016391,3,CHDH,protein_coding,7787
ENSG00000016402,6,IL20RA,protein_coding,4730
ENSG00000016490,1,CLCA1,protein_coding,3310
ENSG00000016602,1,CLCA4,protein_coding,3447
ENSG00000016864,3,GLT8D1,protein_coding,3785
ENSG00000017260,3,ATP2C1,protein_coding,8510
ENSG00000017427,12,IGF1,protein_coding,8115
ENSG00000017483,X,SLC38A5,protein_coding,4018
ENSG00000017797,18,RALBP1,protein_coding,8041
ENSG00000018189,4,RUFY3,protein_coding,9405
ENSG00000018236,12,CNTN1,protein_coding,7492
ENSG00000018280,2,SLC11A1,protein_coding,8676
ENSG00000018408,3,WWTR1,protein_coding,8353
ENSG00000018510,2,AGPS,protein_coding,15223
ENSG00000018610,X,CXorf56,protein_coding,2581
ENSG00000018625,1,ATP1A2,protein_coding,6298
ENSG00000018699,2,TTC27,protein_coding,3443
ENSG00000018869,19,ZNF582,protein_coding,3350
ENSG00000019102,11,VSIG2,protein_coding,1447
ENSG00000019144,11,PHLDB1,protein_coding,21715
ENSG00000019169,2,MARCO,protein_coding,2051
ENSG00000019186,20,CYP24A1,protein_coding,3988
ENSG00000019485,11,PRDM11,protein_coding,13940
ENSG00000019505,11,SYT13,protein_coding,5445
ENSG00000019549,8,SNAI2,protein_coding,3281
ENSG00000019582,5,CD74,protein_coding,6122
ENSG00000019991,7,HGF,protein_coding,9753
ENSG00000019995,10,ZRANB1,protein_coding,5993
ENSG00000020129,1,NCDN,protein_coding,4917
ENSG00000020181,8,ADGRA2,protein_coding,7084
ENSG00000020256,20,ZFP64,protein_coding,6790
ENSG00000020426,14,MNAT1,protein_coding,3877
ENSG00000020577,14,SAMD4A,protein_coding,12333
ENSG00000020633,1,RUNX3,protein_coding,4922
ENSG00000020922,11,MRE11,protein_coding,7674
ENSG00000021300,11,PLEKHB1,protein_coding,4933
ENSG00000021355,6,SERPINB1,protein_coding,3047
ENSG00000021461,7,CYP3A43,protein_coding,2637
ENSG00000021488,19,SLC7A9,protein_coding,2598
ENSG00000021574,2,SPAST,protein_coding,9481
ENSG00000021645,14,NRXN3,protein_coding,15534
ENSG00000021762,11,OSBPL5,protein_coding,7473
ENSG00000021776,15,AQR,protein_coding,13431
ENSG00000021826,2,CPS1,protein_coding,11018
ENSG00000021852,1,C8B,protein_coding,2732
ENSG00000022267,X,FHL1,protein_coding,5862
ENSG00000022277,20,RTF2,protein_coding,4063
ENSG00000022355,5,GABRA1,protein_coding,8420
ENSG00000022556,19,NLRP2,protein_coding,6313
ENSG00000022567,8,SLC45A4,protein_coding,8608
ENSG00000022840,12,RNF10,protein_coding,5900
ENSG00000022976,14,ZNF839,protein_coding,5595
ENSG00000023041,10,ZDHHC6,protein_coding,3748
ENSG00000023171,11,GRAMD1B,protein_coding,14944
ENSG00000023191,11,RNH1,protein_coding,7374
ENSG00000023228,2,NDUFS1,protein_coding,12174
ENSG00000023287,8,RB1CC1,protein_coding,7613
ENSG00000023318,9,ERP44,protein_coding,4808
ENSG00000023330,3,ALAS1,protein_coding,2536
ENSG00000023445,11,BIRC3,protein_coding,7518
ENSG00000023516,13,AKAP11,protein_coding,9915
ENSG00000023572,1,GLRX2,protein_coding,6210
ENSG00000023608,14,SNAPC1,protein_coding,2593
ENSG00000023697,12,DERA,protein_coding,2813
ENSG00000023734,12,STRAP,protein_coding,2215
ENSG00000023839,10,ABCC2,protein_coding,7837
ENSG00000023892,6,DEF6,protein_coding,2579
ENSG00000023902,1,PLEKHO1,protein_coding,6629
ENSG00000023909,1,GCLM,protein_coding,5426
ENSG00000024048,6,UBR2,protein_coding,8874
ENSG00000024422,19,EHD2,protein_coding,3844
ENSG00000024526,1,DEPDC1,protein_coding,5904
ENSG00000024862,6,CCDC28A,protein_coding,1247
ENSG00000025039,6,RRAGD,protein_coding,5095
ENSG00000025156,6,HSF2,protein_coding,2697
ENSG00000025293,20,PHF20,protein_coding,8372
ENSG00000025423,12,HSD17B6,protein_coding,2272
ENSG00000025434,11,NR1H3,protein_coding,4534
ENSG00000025708,22,TYMP,protein_coding,3600
ENSG00000025770,22,NCAPH2,protein_coding,4459
ENSG00000025772,20,TOMM34,protein_coding,1973
ENSG00000025796,6,SEC63,protein_coding,8606
ENSG00000025800,1,KPNA6,protein_coding,7457
ENSG00000026025,10,VIM,protein_coding,5176
ENSG00000026036,20,RTEL1-TNFRSF6B,protein_coding,9093
ENSG00000026103,10,FAS,protein_coding,5578
ENSG00000026297,6,RNASET2,protein_coding,14943
ENSG00000026508,11,CD44,protein_coding,9992
ENSG00000026559,20,KCNG1,protein_coding,5415
ENSG00000026652,6,AGPAT4,protein_coding,14253
ENSG00000026751,1,SLAMF7,protein_coding,4833
ENSG00000026950,6,BTN3A1,protein_coding,5539
ENSG00000027001,13,MIPEP,protein_coding,3388
ENSG00000027075,14,PRKCH,protein_coding,8830
ENSG00000027644,1,INSRR,protein_coding,5200
ENSG00000027697,6,IFNGR1,protein_coding,3276
ENSG00000027847,5,B4GALT7,protein_coding,4878
ENSG00000027869,1,SH2D2A,protein_coding,2498
ENSG00000028116,2,VRK2,protein_coding,3531
ENSG00000028137,1,TNFRSF1B,protein_coding,3778
ENSG00000028203,12,VEZT,protein_coding,8766
ENSG00000028277,19,POU2F2,protein_coding,9072
ENSG00000028310,5,BRD9,protein_coding,9549
ENSG00000028528,15,SNX1,protein_coding,9789
ENSG00000028839,6,TBPL1,protein_coding,5039
ENSG00000029153,12,ARNTL2,protein_coding,6983
ENSG00000029363,6,BCLAF1,protein_coding,9533
ENSG00000029364,14,SLC39A9,protein_coding,7138
ENSG00000029534,8,ANK1,protein_coding,10797
ENSG00000029559,4,IBSP,protein_coding,1573
ENSG00000029639,6,TFB1M,protein_coding,4111
ENSG00000029725,17,RABEP1,protein_coding,7059
ENSG00000029993,X,HMGB3,protein_coding,3914
ENSG00000030066,11,NUP160,protein_coding,8576
ENSG00000030110,6,BAK1,protein_coding,2212
ENSG00000030304,9,MUSK,protein_coding,9176
ENSG00000030419,2,IKZF2,protein_coding,12240
ENSG00000030582,17,GRN,protein_coding,3524
ENSG00000031003,5,FAM13B,protein_coding,6808
ENSG00000031081,3,ARHGAP31,protein_coding,9374
ENSG00000031691,6,CENPQ,protein_coding,1741
ENSG00000031698,1,SARS1,protein_coding,3849
ENSG00000031823,19,RANBP3,protein_coding,7445
ENSG00000032219,14,ARID4A,protein_coding,7449
ENSG00000032389,2,EIPR1,protein_coding,5723
ENSG00000032444,19,PNPLA6,protein_coding,7161
ENSG00000032742,13,IFT88,protein_coding,6049
ENSG00000033011,16,ALG1,protein_coding,5386
ENSG00000033030,12,ZCCHC8,protein_coding,9125
ENSG00000033050,7,ABCF2,protein_coding,5158
ENSG00000033100,7,CHPF2,protein_coding,4205
ENSG00000033122,1,LRRC7,protein_coding,30043
ENSG00000033170,14,FUT8,protein_coding,6976
ENSG00000033178,4,UBA6,protein_coding,11408
ENSG00000033327,11,GAB2,protein_coding,6775
ENSG00000033627,17,ATP6V0A1,protein_coding,10926
ENSG00000033800,15,PIAS1,protein_coding,10647
ENSG00000033867,3,SLC4A7,protein_coding,9616
ENSG00000034053,15,APBA2,protein_coding,6869
ENSG00000034152,17,MAP2K3,protein_coding,3775
ENSG00000034239,8,EFCAB1,protein_coding,5822
ENSG00000034510,2,TMSB10,protein_coding,461
ENSG00000034533,3,ASTE1,protein_coding,3427
ENSG00000034677,8,RNF19A,protein_coding,5852
ENSG00000034693,6,PEX3,protein_coding,2830
ENSG00000034713,16,GABARAPL2,protein_coding,3010
ENSG00000034971,1,MYOC,protein_coding,2104
ENSG00000035115,2,SH3YL1,protein_coding,11132
ENSG00000035141,2,FAM136A,protein_coding,3086
ENSG00000035403,10,VCL,protein_coding,9992
ENSG00000035499,5,DEPDC1B,protein_coding,3806
ENSG00000035664,15,DAPK2,protein_coding,13612
ENSG00000035681,8,NSMAF,protein_coding,6170
ENSG00000035687,1,ADSS2,protein_coding,3441
ENSG00000035720,4,STAP1,protein_coding,1951
ENSG00000035862,17,TIMP2,protein_coding,5633
ENSG00000035928,4,RFC1,protein_coding,6719
ENSG00000036054,3,TBC1D23,protein_coding,5176
ENSG00000036257,2,CUL3,protein_coding,11505
ENSG00000036448,8,MYOM2,protein_coding,7056
ENSG00000036473,X,OTC,protein_coding,1683
ENSG00000036530,14,CYP46A1,protein_coding,9358
ENSG00000036549,1,ZZZ3,protein_coding,9008
ENSG00000036565,8,SLC18A1,protein_coding,3910
ENSG00000036672,11,USP2,protein_coding,4523
ENSG00000036828,3,CASR,protein_coding,12020
ENSG00000037042,17,TUBG2,protein_coding,2793
ENSG00000037280,5,FLT4,protein_coding,8852
ENSG00000037474,5,NSUN2,protein_coding,5506
ENSG00000037637,1,FBXO42,protein_coding,9009
ENSG00000037749,5,MFAP3,protein_coding,10159
ENSG00000037757,19,MRI1,protein_coding,3466
ENSG00000037897,12,METTL1,protein_coding,1947
ENSG00000037965,12,HOXC8,protein_coding,2417
ENSG00000038002,4,AGA,protein_coding,2605
ENSG00000038210,4,PI4K2B,protein_coding,3685
